id,customer_id,product_id,quantity,unit_price,discount,total,status,order_date
54,1021,145,15,593.41,19.19,8901.15,cancelled,2024-10-04
55,1141,146,16,629.33,0,10069.28,cancelled,2023-03-13
56,1650,84,17,903.84,0,15365.28,delivered,2024-02-06
57,1999,6,18,183.59,0,3304.62,delivered,2025-05-05
58,109,10,10,859.56,0,8595.6,cancelled,2022-09-13
59,1306,86,7,789.99,0,5529.93,pending,2022-05-22
60,697,74,17,221.84,0,3771.28,cancelled,2025-09-02
61,1671,128,9,216.83,0,1951.47,shipped,2023-09-18
62,1884,68,17,447.71,0,7611.07,delivered,2025-10-06
63,1888,146,19,629.33,0,11957.27,returned,2024-02-25
64,1389,96,12,697.43,0,8369.16,delivered,2023-02-24
65,1110,74,12,221.84,7.88,2662.08,cancelled,2023-12-26
66,270,85,2,378.98,10.38,757.96,shipped,2025-06-03
67,698,91,19,916.22,0,17408.18,delivered,2025-07-17
68,1274,102,4,573.77,0,2295.08,cancelled,2025-05-15
69,901,114,15,139.28,0,2089.2,cancelled,2023-07-15
70,749,48,6,184.21,0,1105.26,cancelled,2022-12-08
71,1486,95,9,988.58,0,8897.22,delivered,2024-12-20
72,366,76,18,948.25,25.45,17068.5,shipped,2024-01-21
73,943,4,6,943.2,15.87,5659.2,shipped,2024-06-26
74,478,183,10,656.46,6.64,6564.6,delivered,2023-09-02
75,236,114,3,139.28,0,417.84,pending,2022-11-25
76,1194,200,7,990.22,0,6931.54,cancelled,2024-04-15
77,1597,65,7,202.76,0,1419.32,cancelled,2022-03-22
78,257,29,14,717.02,0,10038.28,delivered,2025-04-16
79,747,69,10,409.64,0,4096.4,returned,2025-08-06
80,1134,168,5,701.25,0,3506.25,delivered,2024-08-07
81,1799,106,13,596.1,0,7749.3,returned,2025-02-22
82,1519,164,4,527.51,0,2110.04,delivered,2023-05-11
83,119,82,19,286.13,0,5436.47,returned,2025-03-26
84,1681,195,8,515.75,0,4126,pending,2023-03-13
85,1980,109,1,21.24,0,21.24,returned,2025-09-20
86,708,124,13,809.49,0,10523.37,shipped,2024-10-05
87,79,27,17,141.19,0.94,2400.23,delivered,2022-10-01
88,1531,130,8,420.65,16.33,3365.2,delivered,2022-12-01
89,48,142,17,446.08,3.31,7583.36,pending,2025-11-10
90,773,168,16,701.25,0,11220,pending,2024-11-03
91,1662,54,19,976.53,13.78,18554.07,shipped,2023-02-20
92,1927,145,19,593.41,17.75,11274.79,returned,2022-02-14
93,943,89,18,968.98,20.69,17441.64,shipped,2024-01-04
94,717,141,4,621.99,29.57,2487.96,pending,2025-12-14
95,1223,182,5,718.6,0,3593,delivered,2025-01-05
96,935,145,18,593.41,16.65,10681.38,returned,2022-12-07
97,281,120,12,239.25,0,2871,delivered,2025-05-01
98,245,3,1,536.43,0,536.43,returned,2023-11-01
99,147,144,19,247.92,0,4710.48,shipped,2025-10-21
100,75,193,5,271.72,0,1358.6,shipped,2022-11-05
101,1638,99,6,47.38,0,284.28,returned,2024-04-11
102,323,113,2,129.9,0,259.8,pending,2025-10-06
103,137,171,3,845.83,0,2537.49,delivered,2023-05-10
104,856,79,10,60.77,0,607.7,shipped,2025-04-24
105,1794,92,5,52.57,0,262.85,delivered,2025-04-28
106,1568,82,5,286.13,0,1430.65,pending,2025-12-16
107,1197,82,10,286.13,0,2861.3,shipped,2023-09-12
108,1737,165,12,583.18,0,6998.16,delivered,2024-12-24
109,1951,13,9,30.37,0,273.33,shipped,2023-10-10
110,207,172,19,95.98,0,1823.62,delivered,2022-01-15
111,49,56,17,561.69,0,9548.73,pending,2022-12-07
112,756,46,16,253.15,9.24,4050.4,delivered,2024-03-17
113,35,112,1,393.73,0,393.73,cancelled,2025-07-27
114,1586,189,10,492.26,0,4922.6,pending,2022-09-10
115,719,41,2,693.85,0,1387.7,pending,2023-04-28
116,988,85,18,378.98,0,6821.64,cancelled,2024-07-18
117,305,11,8,67.82,0,542.56,delivered,2022-12-12
118,417,150,13,533.49,23.05,6935.37,pending,2025-01-25
119,86,144,4,247.92,0,991.68,pending,2025-04-05
120,1804,158,9,150.99,0,1358.91,pending,2023-07-21
121,382,66,5,397.63,18.56,1988.15,shipped,2025-10-12
122,617,65,15,202.76,0,3041.4,returned,2023-11-16
123,425,32,8,244.09,0,1952.72,cancelled,2022-10-01
124,874,162,1,600.01,14.44,600.01,shipped,2023-01-21
125,1668,101,2,100.03,0,200.06,shipped,2024-02-23
126,52,123,19,58.49,0,1111.31,cancelled,2024-05-21
127,804,178,14,354.22,4.6,4959.08,delivered,2022-04-12
128,564,25,12,219.32,0,2631.84,returned,2023-08-17
129,290,142,3,446.08,0,1338.24,delivered,2024-01-08
130,717,37,1,235.47,0,235.47,returned,2025-06-12
131,1974,140,18,966.17,0,17391.06,returned,2023-11-26
132,272,28,18,829.59,9.1,14932.62,shipped,2022-03-17
133,773,102,7,573.77,24.91,4016.39,returned,2023-03-13
134,92,60,1,774.36,18.12,774.36,pending,2022-07-20
135,1821,195,7,515.75,0,3610.25,returned,2024-02-10
136,547,74,19,221.84,0,4214.96,cancelled,2025-12-08
137,1407,190,10,524.31,9.51,5243.1,pending,2022-03-16
138,1517,52,7,370.49,6,2593.43,returned,2023-03-22
139,1483,42,17,874.09,0,14859.53,delivered,2024-11-24
140,762,37,2,235.47,0,470.94,delivered,2025-04-19
141,891,22,5,119.41,0,597.05,delivered,2022-06-25
142,1220,48,6,184.21,15.05,1105.26,shipped,2024-10-10
143,1279,175,4,211.16,28.34,844.64,pending,2023-10-07
144,1765,104,3,386.74,0,1160.22,returned,2022-09-25
145,1075,132,18,173.13,6.29,3116.34,pending,2024-10-04
146,577,70,15,100.2,25.76,1503,shipped,2023-05-05
147,876,83,8,806.73,0,6453.84,delivered,2022-05-01
148,1287,36,10,406.43,0,4064.3,cancelled,2023-03-13
149,844,145,9,593.41,0,5340.69,delivered,2023-08-07
150,1203,157,10,83.71,0,837.1,returned,2025-10-13
151,1860,45,1,639.61,0.57,639.61,delivered,2024-10-21
152,772,50,17,724.2,0,12311.4,cancelled,2023-09-01
153,1004,25,4,219.32,0,877.28,returned,2022-01-16
154,1737,88,15,646.25,0,9693.75,shipped,2024-01-21
155,1941,121,6,963.7,29.82,5782.2,cancelled,2022-05-06
156,1932,51,17,328.87,0.48,5590.79,shipped,2024-12-04
157,1813,48,10,184.21,0,1842.1,returned,2022-09-05
158,1850,36,17,406.43,0,6909.31,delivered,2022-02-01
159,1969,109,9,21.24,0,191.16,shipped,2023-10-22
160,1575,7,12,669.43,0,8033.16,pending,2025-10-04
161,67,49,14,875.58,0,12258.12,returned,2025-06-26
162,1770,37,12,235.47,0,2825.64,shipped,2024-11-12
163,344,108,18,541.06,0,9739.08,pending,2024-08-21
164,514,97,19,305.05,0,5795.95,cancelled,2022-03-16
165,598,194,16,510.14,0,8162.24,cancelled,2023-05-23
166,1800,194,4,510.14,0,2040.56,cancelled,2022-03-22
167,378,134,1,53.33,28.82,53.33,pending,2023-02-16
168,977,77,4,97.67,0,390.68,shipped,2024-09-17
169,362,39,16,211.25,0,3380,shipped,2024-06-11
170,337,67,12,692.69,0,8312.28,shipped,2025-12-22
171,1887,116,3,208.96,0,626.88,delivered,2025-10-03
172,1491,104,19,386.74,0,7348.06,shipped,2022-08-17
173,1855,12,17,654.54,0,11127.18,cancelled,2024-12-09
174,728,179,7,450.55,0.48,3153.85,returned,2025-02-25
175,1412,73,4,238.38,0,953.52,delivered,2023-07-21
176,1604,121,18,963.7,0,17346.6,returned,2023-09-15
177,216,161,19,81.95,0,1557.05,delivered,2024-11-03
178,1458,157,13,83.71,0,1088.23,delivered,2024-03-20
179,1616,114,1,139.28,0.41,139.28,returned,2025-01-19
180,770,15,13,825.2,0,10727.6,shipped,2025-01-09
181,442,117,16,660.46,10.83,10567.36,delivered,2025-07-28
182,1277,14,6,550.62,27.44,3303.72,pending,2022-10-15
183,40,178,12,354.22,0,4250.64,shipped,2025-04-09
184,803,54,2,976.53,0,1953.06,cancelled,2024-08-24
185,591,127,4,623.12,0,2492.48,cancelled,2024-09-13
186,45,79,5,60.77,0,303.85,shipped,2022-05-07
187,1590,150,12,533.49,0,6401.88,returned,2024-02-06
188,1900,133,18,298.55,7.52,5373.9,pending,2023-04-17
189,1849,96,17,697.43,17.1,11856.31,returned,2024-09-15
190,749,31,10,158.16,20.2,1581.6,returned,2023-08-23
191,41,144,8,247.92,0,1983.36,cancelled,2023-02-18
192,1241,113,17,129.9,0,2208.3,shipped,2023-10-22
193,121,88,4,646.25,17.54,2585,cancelled,2022-12-17
194,936,57,17,141.75,15.27,2409.75,returned,2023-11-04
195,552,55,13,112.9,28.98,1467.7,pending,2025-01-03
196,212,174,1,231.71,0,231.71,pending,2022-06-25
197,50,73,8,238.38,0,1907.04,shipped,2025-10-10
198,1367,27,10,141.19,0,1411.9,returned,2022-01-01
199,1467,154,16,890.6,0.18,14249.6,returned,2024-09-20
200,1740,87,10,600.01,0,6000.1,shipped,2023-05-18
201,1752,20,12,481.5,0,5778,pending,2022-09-01
202,307,100,16,779.66,24.55,12474.56,returned,2022-03-27
203,66,157,16,83.71,26.45,1339.36,pending,2022-03-15
204,934,190,1,524.31,13.83,524.31,pending,2022-01-20
205,245,58,10,583.34,0,5833.4,returned,2022-06-22
206,384,176,9,850.78,0,7657.02,delivered,2024-09-04
207,141,26,5,362.01,0,1810.05,pending,2023-09-26
208,1105,68,11,447.71,0,4924.81,delivered,2023-03-28
209,1304,18,2,83.56,0,167.12,cancelled,2022-05-01
210,1132,47,10,645.14,0,6451.4,shipped,2022-06-28
211,1717,101,4,100.03,29.33,400.12,returned,2023-04-16
212,1938,3,17,536.43,14.46,9119.31,shipped,2025-10-27
213,94,43,16,64.03,0,1024.48,delivered,2022-11-16
214,305,189,15,492.26,0,7383.9,cancelled,2025-05-26
215,529,28,13,829.59,18.85,10784.67,returned,2024-10-16
216,893,167,14,277.82,0,3889.48,pending,2023-06-25
217,1555,123,6,58.49,0,350.94,pending,2023-06-24
218,1587,136,9,28.67,0,258.03,shipped,2025-11-20
219,1133,12,19,654.54,0,12436.26,shipped,2022-07-25
220,424,126,1,118.97,0,118.97,shipped,2024-09-10
221,1378,68,7,447.71,0,3133.97,shipped,2022-07-27
222,248,141,4,621.99,0,2487.96,cancelled,2024-11-18
223,1022,30,16,125.04,0,2000.64,pending,2024-02-01
224,1806,24,10,58.24,0,582.4,cancelled,2024-08-23
225,1434,64,12,663.35,11.3,7960.2,delivered,2025-09-22
226,1936,121,14,963.7,0,13491.8,delivered,2022-12-11
227,1839,80,10,59.51,6.59,595.1,delivered,2025-04-06
228,471,68,6,447.71,0,2686.26,shipped,2024-08-10
229,159,162,12,600.01,2.38,7200.12,delivered,2023-04-25
230,846,174,17,231.71,0,3939.07,delivered,2025-11-14
231,30,79,4,60.77,0,243.08,cancelled,2023-01-12
232,1969,110,6,77.9,27.95,467.4,pending,2022-11-28
233,381,5,18,604.81,0,10886.58,delivered,2025-12-16
234,1656,123,13,58.49,0,760.37,shipped,2022-05-04
235,145,69,10,409.64,4.3,4096.4,delivered,2022-01-19
236,256,182,13,718.6,0,9341.8,delivered,2024-07-17
237,1335,4,17,943.2,0,16034.4,shipped,2023-03-04
238,43,67,8,692.69,0,5541.52,cancelled,2025-07-14
239,1939,176,6,850.78,0,5104.68,shipped,2024-06-19
240,919,46,8,253.15,0,2025.2,pending,2023-12-01
241,1926,166,11,616.72,0,6783.92,shipped,2025-03-08
242,574,89,17,968.98,0,16472.66,pending,2025-11-13
243,739,24,8,58.24,0,465.92,cancelled,2025-06-22
244,1878,118,10,380.05,18.43,3800.5,cancelled,2023-04-07
245,1200,100,9,779.66,0,7016.94,delivered,2025-08-25
246,1792,196,17,542.59,6.8,9224.03,shipped,2024-04-02
247,339,138,15,557.12,0,8356.8,returned,2025-05-02
248,1888,75,18,95.54,0,1719.72,shipped,2023-05-14
249,1426,59,17,631.88,0,10741.96,cancelled,2023-07-08
250,2000,172,16,95.98,0,1535.68,pending,2023-12-01
251,1334,131,11,652.89,0,7181.79,cancelled,2023-01-05
252,1251,121,3,963.7,18.98,2891.1,delivered,2024-05-03
253,1736,29,17,717.02,0,12189.34,shipped,2022-04-27
254,911,196,12,542.59,0,6511.08,pending,2025-08-09
255,295,120,11,239.25,0,2631.75,pending,2024-02-09
256,1015,13,17,30.37,0,516.29,cancelled,2023-08-07
257,449,5,17,604.81,0,10281.77,delivered,2024-01-21
258,224,110,15,77.9,0,1168.5,pending,2025-11-13
259,735,20,16,481.5,0,7704,returned,2024-09-03
260,1718,4,7,943.2,5.75,6602.4,pending,2023-06-20
261,1704,23,2,713.25,0,1426.5,returned,2023-02-05
262,1871,85,5,378.98,0,1894.9,cancelled,2023-10-21
263,1199,61,2,968.17,0,1936.34,shipped,2025-10-25
264,935,110,16,77.9,0,1246.4,pending,2024-10-24
265,1221,187,3,626.35,0,1879.05,returned,2025-05-09
266,7,132,5,173.13,23.05,865.65,delivered,2023-08-06
267,912,41,14,693.85,0,9713.9,delivered,2022-11-05
268,1610,13,19,30.37,0,577.03,returned,2022-07-14
269,1576,81,11,637.31,0,7010.41,cancelled,2023-04-15
270,1535,90,12,592.32,0,7107.84,delivered,2024-10-21
271,1378,163,8,241.1,0,1928.8,pending,2025-02-07
272,1198,40,2,892.78,0,1785.56,returned,2025-04-05
273,348,50,4,724.2,0,2896.8,cancelled,2025-09-17
274,709,134,3,53.33,0,159.99,delivered,2025-09-09
275,1965,101,16,100.03,0,1600.48,cancelled,2025-06-16
276,1399,199,7,565.45,0,3958.15,pending,2022-11-17
277,244,198,17,380.95,0,6476.15,returned,2022-03-16
278,739,190,14,524.31,0,7340.34,delivered,2022-08-13
279,938,185,2,326.55,0,653.1,returned,2022-06-06
280,454,194,14,510.14,0,7141.96,delivered,2023-04-25
281,1436,91,11,916.22,18.04,10078.42,shipped,2023-06-15
282,300,132,5,173.13,12.76,865.65,returned,2024-08-22
283,1740,58,3,583.34,12.58,1750.02,returned,2022-04-26
284,1620,154,12,890.6,0,10687.2,cancelled,2023-09-18
285,385,69,8,409.64,0,3277.12,pending,2024-10-22
286,373,191,8,778.27,0,6226.16,cancelled,2024-05-27
287,1721,26,6,362.01,0,2172.06,pending,2025-06-14
288,1324,142,17,446.08,0,7583.36,pending,2023-12-24
289,913,92,4,52.57,16.28,210.28,returned,2023-07-21
290,1162,100,1,779.66,0,779.66,cancelled,2023-03-17
291,177,78,4,335.71,0,1342.84,cancelled,2022-04-26
292,1477,30,19,125.04,0,2375.76,pending,2022-08-11
293,1366,53,4,655.86,0,2623.44,delivered,2022-09-07
294,1354,52,8,370.49,0,2963.92,shipped,2022-04-12
295,999,169,7,786,0,5502,returned,2023-07-03
296,1478,64,14,663.35,0,9286.9,shipped,2025-04-25
297,970,20,19,481.5,0,9148.5,returned,2025-04-26
298,272,61,3,968.17,0,2904.51,delivered,2022-10-12
299,1375,77,10,97.67,0,976.7,cancelled,2025-08-22
300,746,128,10,216.83,0,2168.3,delivered,2022-07-06
301,568,32,9,244.09,0,2196.81,shipped,2022-07-02
302,335,196,8,542.59,19.54,4340.72,delivered,2025-10-03
303,794,166,5,616.72,0,3083.6,shipped,2024-07-25
304,892,136,1,28.67,0,28.67,pending,2024-10-01
305,290,72,17,633.89,0,10776.13,delivered,2022-07-11
306,450,133,16,298.55,0,4776.8,pending,2022-10-05
307,810,98,11,66.06,22.18,726.66,returned,2022-06-07
308,1801,108,10,541.06,0,5410.6,returned,2023-02-06
309,20,81,14,637.31,0,8922.34,shipped,2024-06-25
310,1644,23,8,713.25,17.69,5706,cancelled,2023-04-03
311,412,50,6,724.2,19.79,4345.2,shipped,2024-05-12
312,35,172,1,95.98,0,95.98,delivered,2025-04-12
313,1607,83,7,806.73,0.09,5647.11,returned,2022-07-05
314,1791,53,14,655.86,0,9182.04,cancelled,2022-07-21
315,1462,171,7,845.83,0,5920.81,cancelled,2022-03-12
316,794,12,14,654.54,0,9163.56,pending,2024-09-27
317,799,9,7,332.46,0,2327.22,delivered,2023-01-05
318,1296,102,3,573.77,0,1721.31,cancelled,2022-08-22
319,1359,112,5,393.73,0,1968.65,returned,2023-03-28
320,1217,70,12,100.2,22.64,1202.4,cancelled,2024-08-24
321,252,50,19,724.2,0,13759.8,delivered,2023-06-03
322,1315,47,8,645.14,0,5161.12,shipped,2022-01-28
323,596,122,8,816.6,0,6532.8,delivered,2024-03-26
324,1578,101,15,100.03,0,1500.45,returned,2022-10-21
325,1901,79,13,60.77,0,790.01,shipped,2024-06-27
326,553,125,17,142.11,0,2415.87,pending,2022-01-07
327,1766,73,19,238.38,0,4529.22,shipped,2022-01-26
328,91,62,16,166.62,0,2665.92,delivered,2022-02-08
329,869,162,18,600.01,0,10800.18,returned,2025-03-10
330,11,6,2,183.59,0,367.18,delivered,2022-06-07
331,363,166,18,616.72,0,11100.96,returned,2024-11-19
332,1269,88,13,646.25,0,8401.25,returned,2022-12-18
333,1120,173,8,580.62,0,4644.96,pending,2024-09-15
334,920,67,2,692.69,0,1385.38,shipped,2022-02-09
335,823,22,16,119.41,0,1910.56,cancelled,2024-08-16
336,639,74,18,221.84,27.71,3993.12,pending,2025-09-14
337,1688,151,16,770.69,0,12331.04,shipped,2023-01-11
338,2,154,12,890.6,10.46,10687.2,delivered,2023-06-28
339,524,119,12,371.17,0,4454.04,shipped,2024-04-01
340,1225,78,17,335.71,0,5707.07,returned,2025-05-12
341,1026,194,15,510.14,0,7652.1,shipped,2024-11-24
342,469,193,18,271.72,0,4890.96,delivered,2024-06-01
343,143,111,18,281.59,0,5068.62,cancelled,2025-03-10
344,393,82,18,286.13,11.31,5150.34,pending,2024-07-27
345,1165,69,4,409.64,0.21,1638.56,shipped,2023-11-06
346,579,194,4,510.14,0,2040.56,cancelled,2022-12-09
347,1485,4,4,943.2,0,3772.8,cancelled,2024-02-09
348,1259,112,13,393.73,0,5118.49,pending,2025-01-23
349,221,64,13,663.35,0,8623.55,cancelled,2024-12-04
350,768,34,13,827.62,23.23,10759.06,cancelled,2025-04-01
351,1470,134,10,53.33,0,533.3,delivered,2025-10-28
352,1242,100,12,779.66,0,9355.92,delivered,2024-06-05
353,550,76,19,948.25,26.91,18016.75,returned,2022-06-02
354,1375,199,11,565.45,0,6219.95,pending,2024-01-10
355,6,167,2,277.82,22.61,555.64,pending,2023-03-02
356,846,93,6,750.35,0,4502.1,returned,2022-05-27
357,827,36,19,406.43,0,7722.17,cancelled,2023-04-16
358,788,79,9,60.77,24.82,546.93,shipped,2025-02-15
359,671,175,9,211.16,0,1900.44,pending,2022-10-06
360,461,135,10,674.59,0,6745.9,pending,2023-05-15
361,485,48,18,184.21,0,3315.78,returned,2024-12-09
362,1359,173,1,580.62,6.39,580.62,cancelled,2024-10-25
363,1565,141,16,621.99,0,9951.84,returned,2022-07-28
364,385,147,6,214.28,9.43,1285.68,shipped,2025-07-14
365,230,65,10,202.76,0,2027.6,delivered,2023-08-02
366,1046,152,17,911.9,25.61,15502.3,shipped,2024-04-06
367,1030,31,8,158.16,0,1265.28,cancelled,2023-07-24
368,1263,114,11,139.28,0,1532.08,pending,2023-08-22
369,1542,149,6,515.34,0,3092.04,cancelled,2022-10-07
370,1444,166,18,616.72,23.26,11100.96,returned,2023-12-03
371,474,132,15,173.13,5.45,2596.95,delivered,2023-03-27
372,1253,155,3,431.01,0.58,1293.03,cancelled,2025-08-07
373,839,58,18,583.34,25.56,10500.12,delivered,2024-12-20
374,932,135,4,674.59,0,2698.36,returned,2023-03-13
375,187,52,1,370.49,0,370.49,shipped,2024-08-16
376,155,138,2,557.12,14.04,1114.24,returned,2024-05-25
377,861,28,2,829.59,18.77,1659.18,shipped,2024-03-23
378,1389,186,3,627.64,7.43,1882.92,delivered,2023-02-10
379,281,46,6,253.15,0,1518.9,shipped,2022-11-15
380,1072,83,13,806.73,0,10487.49,returned,2025-01-20
381,102,108,8,541.06,0,4328.48,returned,2022-01-19
382,575,23,1,713.25,0,713.25,returned,2023-10-24
383,1595,140,3,966.17,0,2898.51,delivered,2024-06-10
384,1104,9,7,332.46,0,2327.22,delivered,2024-10-07
385,486,191,6,778.27,14.95,4669.62,shipped,2022-02-04
386,1236,70,4,100.2,0,400.8,delivered,2022-03-09
387,1880,2,12,667,29.27,8004,pending,2023-03-03
388,591,33,16,253.97,0,4063.52,cancelled,2022-03-25
389,1257,134,13,53.33,0,693.29,delivered,2024-07-01
390,1152,71,18,903.42,0,16261.56,cancelled,2025-10-14
391,1140,162,16,600.01,0,9600.16,returned,2023-04-27
392,1552,48,18,184.21,9.84,3315.78,delivered,2025-05-17
393,1091,32,1,244.09,0,244.09,shipped,2023-02-14
394,1962,8,13,581.03,7.84,7553.39,delivered,2022-12-10
395,1475,143,5,59.58,0,297.9,shipped,2025-09-06
396,789,3,7,536.43,0,3755.01,pending,2024-07-01
397,440,193,8,271.72,29.28,2173.76,cancelled,2025-11-05
398,1549,52,8,370.49,3.2,2963.92,delivered,2022-06-12
399,1662,200,19,990.22,0.02,18814.18,shipped,2023-07-01
400,703,137,17,358.4,3.3,6092.8,shipped,2025-03-21
401,243,58,11,583.34,0,6416.74,pending,2025-07-14
402,1620,124,3,809.49,0,2428.47,shipped,2025-06-17
403,1809,29,19,717.02,0,13623.38,delivered,2023-12-06
404,1920,114,15,139.28,0,2089.2,pending,2023-11-22
405,187,31,19,158.16,0,3005.04,pending,2024-11-05
406,1318,117,6,660.46,14.83,3962.76,shipped,2025-11-07
407,695,114,19,139.28,28.74,2646.32,delivered,2023-07-06
408,389,43,7,64.03,0,448.21,pending,2023-02-12
409,1891,10,18,859.56,0,15472.08,returned,2022-07-03
410,1944,85,8,378.98,2.27,3031.84,delivered,2022-11-07
411,521,194,17,510.14,0,8672.38,delivered,2023-12-24
412,468,118,10,380.05,20.03,3800.5,returned,2024-02-25
413,869,124,4,809.49,14.99,3237.96,returned,2022-08-07
414,538,129,10,730.46,0,7304.6,delivered,2024-06-14
415,1974,90,3,592.32,28.73,1776.96,shipped,2024-09-03
416,436,51,18,328.87,0,5919.66,cancelled,2023-12-09
417,1744,187,1,626.35,0,626.35,cancelled,2024-10-19
418,452,41,11,693.85,26.76,7632.35,shipped,2025-12-06
419,7,82,10,286.13,0,2861.3,shipped,2025-09-13
420,685,85,11,378.98,3.67,4168.78,shipped,2024-01-24
421,976,105,11,317.66,0,3494.26,pending,2024-10-24
422,6,161,1,81.95,0,81.95,returned,2024-10-19
423,386,162,11,600.01,0,6600.11,returned,2023-11-11
424,1236,35,6,645.79,0,3874.74,delivered,2023-09-06
425,151,80,15,59.51,0,892.65,cancelled,2025-10-23
426,12,25,18,219.32,5.88,3947.76,delivered,2024-06-03
427,1933,161,8,81.95,0,655.6,pending,2022-12-27
428,541,148,18,72.74,0,1309.32,cancelled,2022-09-24
429,638,65,11,202.76,0,2230.36,cancelled,2024-04-22
430,1613,118,5,380.05,0,1900.25,cancelled,2022-08-24
431,651,14,11,550.62,0,6056.82,cancelled,2022-05-07
432,1527,75,3,95.54,8.55,286.62,pending,2023-06-13
433,796,67,19,692.69,0,13161.11,delivered,2024-08-16
434,233,138,9,557.12,0,5014.08,shipped,2025-02-19
435,462,82,10,286.13,0,2861.3,delivered,2024-03-27
436,1445,175,13,211.16,0,2745.08,pending,2023-02-28
437,1149,40,8,892.78,0,7142.24,returned,2025-08-23
438,1739,94,13,8.03,19.85,104.39,delivered,2022-11-06
439,868,70,7,100.2,0,701.4,delivered,2025-03-20
440,1310,36,3,406.43,0,1219.29,shipped,2023-01-12
441,534,64,11,663.35,0,7296.85,pending,2024-05-22
442,1899,148,16,72.74,0,1163.84,pending,2025-01-16
443,1700,187,13,626.35,0,8142.55,shipped,2025-08-06
444,826,76,5,948.25,18.98,4741.25,pending,2024-12-16
445,1266,5,9,604.81,0,5443.29,delivered,2022-05-20
446,249,174,13,231.71,0,3012.23,delivered,2024-07-09
447,591,10,16,859.56,0,13752.96,delivered,2025-09-18
448,416,85,4,378.98,0,1515.92,returned,2022-08-06
449,1111,73,11,238.38,0,2622.18,shipped,2023-06-15
450,247,3,2,536.43,0,1072.86,delivered,2025-12-06
451,932,121,4,963.7,12.22,3854.8,returned,2023-08-19
452,1821,188,15,176.18,0,2642.7,pending,2025-01-10
453,414,68,14,447.71,0,6267.94,shipped,2022-01-18
454,1387,102,10,573.77,0.69,5737.7,shipped,2023-08-25
455,1723,50,12,724.2,0,8690.4,pending,2025-11-15
